date,model_version,code,name,ticker,close,ver6_score,ver6_rank_number,ver6_rank_letter,ver6_signal,ver6_selected,quality_gate,rsi,return_1d,return_5d_past,return_20d_past,momentum_acceleration,ma25_distance,drawdown_60d_high,atr14,signal_id,signal_start_date,signal_start_price,signal_age,days_outside_gate,first_signal_return,previous_ver6_rank,rank_velocity,score_velocity,phase,action,ver7_entry,buy_zone_low,buy_zone_high,ver6_stop,ver6_take_profit,atr_stop,swing_stop
2026-08-18,7.0,6506,安川電機,6506.T,5171.0,15.0,215,E,対象外,False,False,42.6,-5.5,-3.62,1.08,-3.88,-1.08,-32.45,294.96,,,,,0,,215.0,0.0,0.0,,SKIP,False,5016.0,5274.0,4757.0,5947.0,4728.6,4442.7
2026-08-18,7.0,7532,パン・パシフィック・インターナショナルホールディングス,7532.T,915.5,58.8,172,E,対象外,False,False,55.6,0.7,-1.18,2.98,-1.92,1.85,-5.09,25.7,,,,,0,,157.0,-15.0,-8.0,,SKIP,False,888.0,934.0,842.0,1053.0,877.0,839.6
2026-08-18,7.0,7453,良品計画,7453.T,4303.0,67.5,144,E,対象外,False,False,53.8,-0.97,-4.93,1.03,-5.19,-0.16,-4.93,147.86,,,,,0,,132.0,-12.0,-8.0,,SKIP,False,4174.0,4389.0,3959.0,4948.0,4081.2,4019.8
2026-08-18,7.0,5332,TOTO,5332.T,6360.0,28.2,209,E,対象外,False,False,35.3,-4.5,-2.96,-14.64,0.7,-9.44,-31.72,294.06,,,,,0,,205.0,-4.0,-8.000000000000004,,SKIP,False,6169.0,6487.0,5851.0,7314.0,5918.9,6064.5
2026-08-18,7.0,4901,富士フイルムホールディングス,4901.T,3182.0,27.4,210,E,対象外,False,False,35.3,-1.85,0.63,-12.41,3.74,-11.24,-17.95,123.17,,,,,0,,206.0,-4.0,-8.0,,SKIP,False,3087.0,3246.0,2927.0,3659.0,2997.2,3111.4
2026-08-18,7.0,8804,東京建物,8804.T,3337.0,79.4,111,E,対象外,False,False,47.1,-0.68,-0.09,-2.11,0.44,-1.93,-5.41,81.38,,,,,0,,115.0,4.0,0.0,,SKIP,False,3237.0,3404.0,3070.0,3838.0,3214.9,3228.8
2026-08-18,7.0,9503,関西電力,9503.T,2398.5,79.6,110,E,対象外,False,False,54.4,0.21,1.59,4.42,0.48,0.92,-2.7,50.73,,,,,0,,84.0,-26.0,-8.0,,SKIP,False,2327.0,2446.0,2207.0,2758.0,2322.4,2289.5
2026-08-18,7.0,6473,ジェイテクト,6473.T,2162.5,79.6,109,E,対象外,False,False,56.1,1.55,1.96,6.03,0.45,2.55,-2.41,70.12,,,,,0,,86.0,-23.0,-8.0,,SKIP,False,2098.0,2206.0,1990.0,2487.0,2057.3,2000.0
2026-08-18,7.0,7911,TOPPANホールディングス,7911.T,5201.0,79.8,108,E,対象外,False,False,58.0,-4.27,7.99,15.19,4.2,8.42,-4.53,230.55,,,,,0,,83.0,-25.0,-8.0,,SKIP,False,5045.0,5305.0,4785.0,5981.0,4855.2,4141.2
2026-08-18,7.0,4507,塩野義製薬,4507.T,2831.0,80.0,107,E,対象外,False,False,47.9,1.0,-0.39,-1.56,0.0,-1.07,-7.79,73.04,,,,,0,,114.0,7.0,0.0,,SKIP,False,2746.0,2888.0,2605.0,3256.0,2721.4,2718.3
2026-08-18,7.0,6326,クボタ,6326.T,2650.0,80.2,106,E,対象外,False,False,43.6,-1.38,-4.09,-1.12,-3.81,-3.16,-9.77,90.13,,,,,0,,113.0,7.0,0.0,,SKIP,False,2570.0,2703.0,2438.0,3047.0,2514.8,2514.4
2026-08-18,7.0,3861,王子ホールディングス,3861.T,866.4,80.7,105,E,対象外,False,False,53.2,0.53,-1.05,3.48,-1.92,0.25,-3.36,16.97,,,,,0,,111.0,6.0,0.0,,SKIP,False,840.0,884.0,797.0,996.0,840.9,838.3
2026-08-18,7.0,1928,積水ハウス,1928.T,3382.0,74.7,125,E,対象外,False,False,45.1,-0.7,-1.26,-2.76,-0.57,-2.19,-8.05,56.39,,,,,0,,105.0,-20.0,-8.0,,SKIP,False,3281.0,3450.0,3111.0,3889.0,3297.4,3309.4
2026-08-18,7.0,9434,ソフトバンク,9434.T,234.0,80.8,104,E,対象外,False,False,61.6,-0.38,2.45,6.12,0.92,3.38,-0.81,4.98,,,,,0,,81.0,-23.0,-8.0,,SKIP,False,227.0,239.0,215.0,269.0,226.5,217.2
2026-08-18,7.0,9107,川崎汽船,9107.T,3141.0,77.0,117,E,対象外,False,False,75.0,2.25,9.1,15.33,5.27,11.28,0.0,84.57,,,,,0,,124.0,7.0,0.0,,SKIP,False,3047.0,3204.0,2890.0,3612.0,3014.2,2671.6
2026-08-18,7.0,7203,トヨタ自動車,7203.T,3022.0,81.4,102,E,対象外,False,False,56.0,0.3,1.38,4.22,0.32,1.78,-6.27,73.22,,,,,0,,78.0,-24.0,-8.0,,SKIP,False,2931.0,3082.0,2780.0,3475.0,2912.2,2855.2
2026-08-18,7.0,5406,神戸製鋼所,5406.T,2050.0,81.5,100,E,対象外,False,False,58.4,2.4,2.04,6.0,0.54,2.57,-1.3,47.85,,,,,0,,108.0,8.0,0.0,,SKIP,False,1988.0,2091.0,1886.0,2358.0,1978.2,1909.9
