signal_id,code,name,signal_start_date,signal_start_price,signal_age,days_outside_gate,last_gate_date,end_date,status,start_ver6_score,start_ver6_rank_number,model_version
8309_20260818_01,8309,SUMITOMO MITSUI TRUST GP INC,2026-08-18,1734.0,12,0,2026-09-01,,ACTIVE,119.6,1,7.0
7269_20260818_01,7269,SUZUKI MOTOR CORP,2026-08-18,2081.0,11,0,2026-09-01,,ACTIVE,116.4,2,7.0
8604_20260818_01,8604,NOMURA HOLDINGS INC.,2026-08-18,1554.0,12,0,2026-09-01,,ACTIVE,115.3,3,7.0
8750_20260818_01,8750,DAIICHI LIFE GROUP INC,2026-08-18,1841.5,3,2,2026-08-18,2026-08-20,ENDED,115.0,4,7.0
8601_20260818_01,8601,DAIWA SECURITIES GROUP,2026-08-18,1771.0,11,0,2026-09-01,,ACTIVE,114.7,5,7.0
5101_20260818_01,5101,YOKOHAMA RUBBER CO,2026-08-18,7647.0,7,2,2026-08-25,2026-08-28,ENDED,113.2,6,7.0
4689_20260818_01,4689,LY CORPORATION,2026-08-18,497.9,3,2,2026-08-19,2026-08-21,ENDED,112.4,7,7.0
4631_20260818_01,4631,DIC CORPORATION,2026-08-18,5495.0,9,2,2026-08-27,2026-08-31,ENDED,111.2,8,7.0
8411_20260818_01,8411,MIZUHO FINANCIAL GROUP,2026-08-18,8531.0,12,0,2026-09-01,,ACTIVE,111.2,9,7.0
8306_20260818_01,8306,MITSUBISHI UFJ FINANCIAL GROUP ,2026-08-18,3654.0,11,0,2026-09-01,,ACTIVE,110.9,10,7.0
8331_20260818_01,8331,CHIBA BANK,2026-08-18,2837.5,11,0,2026-09-01,,ACTIVE,110.4,11,7.0
8725_20260818_01,8725,MS&AD INS GP HLDGS,2026-08-18,4985.0,12,0,2026-09-01,,ACTIVE,110.3,12,7.0
2503_20260818_01,2503,KIRIN HOLDINGS COMPANY LIMITED,2026-08-18,3000.0,12,0,2026-09-01,,ACTIVE,110.2,13,7.0
5108_20260818_01,5108,BRIDGESTONE CORP,2026-08-18,4074.0,11,0,2026-09-01,,ACTIVE,108.5,14,7.0
4021_20260818_01,4021,NISSAN CHEMICAL CORPORATION,2026-08-18,8059.0,8,2,2026-08-25,2026-08-28,ENDED,108.2,15,7.0
5019_20260818_01,5019,IDEMITSU KOSAN CO.LTD,2026-08-18,1370.5,12,0,2026-09-01,,ACTIVE,108.0,16,7.0
4578_20260818_01,4578,OTSUKA HLDGS CO LTD,2026-08-18,12040.0,10,0,2026-09-01,,ACTIVE,107.0,17,7.0
8316_20260818_01,8316,SUMITOMO MITSUI FINANCIAL GROUP,2026-08-18,6900.0,3,2,2026-08-18,2026-08-20,ENDED,107.0,18,7.0
2871_20260818_01,2871,NICHIREI CORP,2026-08-18,2141.5,12,0,2026-09-01,,ACTIVE,106.2,19,7.0
9503_20260820_01,9503,関西電力,2026-08-20,2557.5,4,2,2026-08-28,2026-09-01,ENDED,106.7,16,7.0
4503_20260820_01,4503,アステラス製薬,2026-08-20,2418.0,7,0,2026-09-01,,ACTIVE,106.6,17,7.0
4543_20260821_01,4543,テルモ,2026-08-21,2569.0,6,0,2026-09-01,,ACTIVE,108.0,14,7.0
2914_20260821_01,2914,日本たばこ産業（JT）,2026-08-21,6980.0,4,0,2026-09-01,,ACTIVE,106.6,16,7.0
5714_20260821_01,5714,DOWAホールディングス,2026-08-21,10120.0,0,2,2026-08-21,2026-08-25,ENDED,106.1,18,7.0
8354_20260821_01,8354,ふくおかフィナンシャルグループ,2026-08-21,7564.0,6,0,2026-09-01,,ACTIVE,105.3,21,7.0
4208_20260821_01,4208,UBE,2026-08-21,3568.0,0,2,2026-08-21,2026-08-25,ENDED,105.0,22,7.0
6857_20260824_01,6857,アドバンテスト,2026-08-24,34500.0,3,2,2026-08-28,2026-09-01,ENDED,107.4,16,7.0
9766_20260824_01,9766,コナミグループ,2026-08-24,22160.0,4,0,2026-09-01,,ACTIVE,105.0,22,7.0
8591_20260825_01,8591,オリックス,2026-08-25,6279.0,1,2,2026-08-27,2026-08-31,ENDED,105.6,22,7.0
8750_20260827_02,8750,第一生命ホールディングス,2026-08-27,1817.0,3,0,2026-09-01,,ACTIVE,115.1,4,7.0
9101_20260827_01,9101,日本郵船,2026-08-27,6910.0,1,1,2026-08-31,,ACTIVE,110.0,13,7.0
8316_20260827_02,8316,三井住友フィナンシャルグループ,2026-08-27,6776.0,3,0,2026-09-01,,ACTIVE,108.4,15,7.0
2801_20260827_01,2801,キッコーマン,2026-08-27,1810.0,3,0,2026-09-01,,ACTIVE,108.2,16,7.0
9104_20260827_01,9104,商船三井,2026-08-27,6982.0,2,0,2026-09-01,,ACTIVE,107.6,20,7.0
8308_20260827_01,8308,りそなホールディングス,2026-08-27,2430.0,3,0,2026-09-01,,ACTIVE,105.6,25,7.0
9432_20260827_01,9432,NTT,2026-08-27,167.6,1,2,2026-08-28,2026-09-01,ENDED,105.4,27,7.0
7733_20260828_01,7733,オリンパス,2026-08-28,2148.5,2,0,2026-09-01,,ACTIVE,107.5,16,7.0
8015_20260828_01,8015,豊田通商,2026-08-28,7583.0,2,0,2026-09-01,,ACTIVE,105.9,23,7.0
6178_20260828_01,6178,日本郵政,2026-08-28,2425.5,1,0,2026-09-01,,ACTIVE,105.6,26,7.0
4021_20260831_02,4021,日産化学,2026-08-31,8153.0,1,0,2026-09-01,,ACTIVE,105.5,25,7.0
7203_20260901_01,7203,トヨタ自動車,2026-09-01,3230.0,0,0,2026-09-01,,ACTIVE,108.8,15,7.0
4631_20260901_02,4631,DIC,2026-09-01,5230.0,0,0,2026-09-01,,ACTIVE,108.6,17,7.0
8591_20260901_02,8591,オリックス,2026-09-01,6345.0,0,0,2026-09-01,,ACTIVE,106.6,27,7.0
5101_20260901_02,5101,横浜ゴム,2026-09-01,7438.0,0,0,2026-09-01,,ACTIVE,105.7,29,7.0
