signal_date,code,ticker,signal_id,model_version,ver6_selected,ver7_entry,entry_price,return_5d,mfe_5d,mae_5d,efficiency_5d,exit_date_5d
2026-08-18 00:00:00,8309,8309.T,8309_20260818_01,7.0,True,True,1734.0,0.0,0.14417531718569077,-3.3737024221453304,0.042735042735040626,2026-08-25
2026-08-18 00:00:00,7269,7269.T,7269_20260818_01,7.0,True,True,2081.0,1.8260451705910619,2.90725612686209,-3.2916866890917773,0.8832116788321196,2026-08-25
2026-08-18 00:00:00,8604,8604.T,8604_20260818_01,7.0,True,False,1554.0,1.1261261261261257,1.4157014157014203,-3.6679536679536717,0.3859649122807026,2026-08-25
2026-08-18 00:00:00,8750,8750.T,8750_20260818_01,7.0,True,False,1841.5,,,,,
2026-08-18 00:00:00,8601,8601.T,8601_20260818_01,7.0,True,False,1771.0,,,,,
2026-08-18 00:00:00,5101,5101.T,5101_20260818_01,7.0,False,True,7647.0,-2.3538642604943094,1.47770367464366,-5.675428272525174,0.2603686635944716,2026-08-25
2026-08-18 00:00:00,8411,8411.T,8411_20260818_01,7.0,False,True,8531.0,-3.786191536748329,-2.8484351189778434,-6.62290470050404,-0.4300884955752212,2026-08-25
2026-08-18 00:00:00,8306,8306.T,8306_20260818_01,7.0,False,True,3654.0,-3.4209085933223915,-1.3957307060755375,-6.540777230432404,-0.2133891213389127,2026-08-25
2026-08-18 00:00:00,8331,8331.T,8331_20260818_01,7.0,False,True,2837.5,,,,,
2026-08-18 00:00:00,8725,8725.T,8725_20260818_01,7.0,False,True,4985.0,1.745235707121373,1.745235707121373,-4.613841524573726,0.378260869565219,2026-08-25
2026-08-18 00:00:00,4021,4021.T,4021_20260818_01,7.0,False,True,8059.0,1.5634694130785443,2.3452041196178275,-3.710137734210195,0.6321070234113745,2026-08-25
2026-08-18 00:00:00,5019,5019.T,5019_20260818_01,7.0,False,True,1370.5,0.5837285662167124,1.9336008755928447,-3.4294053265231716,0.5638297872340404,2026-08-25
2026-08-18 00:00:00,8316,8316.T,8316_20260818_01,7.0,False,True,6900.0,-3.869565217391302,-2.898550724637683,-6.275362318840583,-0.4618937644341802,2026-08-25
,4631,4631.T,4631_20260818_01,7.0,True,False,5495.0,,,,,
,4631,4631.T,4631_20260818_01,7.0,True,False,5495.0,,,,,
,8604,8604.T,8604_20260818_01,7.0,True,False,1509.5,,,,,
,8309,8309.T,8309_20260818_01,7.0,True,False,1688.5,,,,,
,8725,8725.T,8725_20260818_01,7.0,True,False,4860.0,,,,,
,8331,8331.T,8331_20260818_01,7.0,True,False,2723.5,,,,,
,2503,2503.T,2503_20260818_01,7.0,True,False,2998.5,,,,,
,5019,5019.T,5019_20260818_01,7.0,False,True,1337.0,,,,,
,4631,4631.T,4631_20260818_01,7.0,True,False,5495.0,,,,,
,8331,8331.T,8331_20260818_01,7.0,True,False,2723.5,,,,,
,2503,2503.T,2503_20260818_01,7.0,True,False,2998.5,,,,,
,5019,5019.T,5019_20260818_01,7.0,False,True,1337.0,,,,,
,8725,8725.T,8725_20260818_01,7.0,True,False,4860.0,,,,,
,8309,8309.T,8309_20260818_01,7.0,True,False,1688.5,,,,,
,8604,8604.T,8604_20260818_01,7.0,True,False,1509.5,,,,,
,8309,8309.T,8309_20260818_01,7.0,True,False,1690.5,,,,,
,7269,7269.T,7269_20260818_01,7.0,True,True,2087.0,,,,,
,5101,5101.T,5101_20260818_01,7.0,True,False,7562.0,,,,,
,8601,8601.T,8601_20260818_01,7.0,True,False,1757.0,,,,,
,8604,8604.T,8604_20260818_01,7.0,True,False,1521.0,,,,,
,4021,4021.T,4021_20260818_01,7.0,False,True,8162.0,,,,,
,5019,5019.T,5019_20260818_01,7.0,False,True,1349.5,,,,,
,9503,9503.T,9503_20260820_01,7.0,False,True,2557.5,,,,,
,4503,4503.T,4503_20260820_01,7.0,False,True,2418.0,,,,,
,4631,4631.T,4631_20260818_01,7.0,True,False,5495.0,,,,,
,8604,8604.T,8604_20260818_01,7.0,True,False,1509.5,,,,,
,8331,8331.T,8331_20260818_01,7.0,True,False,2723.5,,,,,
,2503,2503.T,2503_20260818_01,7.0,True,False,2998.5,,,,,
,5019,5019.T,5019_20260818_01,7.0,False,True,1337.0,,,,,
,8725,8725.T,8725_20260818_01,7.0,True,False,4860.0,,,,,
,8309,8309.T,8309_20260818_01,7.0,True,False,1688.5,,,,,
,8601,8601.T,8601_20260818_01,7.0,True,False,1757.0,,,,,
,8604,8604.T,8604_20260818_01,7.0,True,False,1521.0,,,,,
,4021,4021.T,4021_20260818_01,7.0,False,True,8162.0,,,,,
,5101,5101.T,5101_20260818_01,7.0,True,False,7562.0,,,,,
,5019,5019.T,5019_20260818_01,7.0,False,True,1349.5,,,,,
,9503,9503.T,9503_20260820_01,7.0,False,True,2557.5,,,,,
,4503,4503.T,4503_20260820_01,7.0,False,True,2418.0,,,,,
,7269,7269.T,7269_20260818_01,7.0,True,True,2087.0,,,,,
,8309,8309.T,8309_20260818_01,7.0,True,False,1690.5,,,,,
,8309,8309.T,8309_20260818_01,7.0,True,False,1715.5,,,,,
,8601,8601.T,8601_20260818_01,7.0,True,False,1779.0,,,,,
,8604,8604.T,8604_20260818_01,7.0,True,False,1535.0,,,,,
,8725,8725.T,8725_20260818_01,7.0,True,True,4945.0,,,,,
,8331,8331.T,8331_20260818_01,7.0,True,False,2753.5,,,,,
,7269,7269.T,7269_20260818_01,7.0,False,True,2103.5,,,,,
,4631,4631.T,4631_20260818_01,7.0,True,False,5495.0,,,,,
,5019,5019.T,5019_20260818_01,7.0,False,True,1337.0,,,,,
,8725,8725.T,8725_20260818_01,7.0,True,False,4860.0,,,,,
,2503,2503.T,2503_20260818_01,7.0,True,False,2998.5,,,,,
,8309,8309.T,8309_20260818_01,7.0,True,False,1688.5,,,,,
,8331,8331.T,8331_20260818_01,7.0,True,False,2723.5,,,,,
,8604,8604.T,8604_20260818_01,7.0,True,False,1509.5,,,,,
,8309,8309.T,8309_20260818_01,7.0,True,False,1690.5,,,,,
,8601,8601.T,8601_20260818_01,7.0,True,False,1757.0,,,,,
,8604,8604.T,8604_20260818_01,7.0,True,False,1521.0,,,,,
,4021,4021.T,4021_20260818_01,7.0,False,True,8162.0,,,,,
,5101,5101.T,5101_20260818_01,7.0,True,False,7562.0,,,,,
,5019,5019.T,5019_20260818_01,7.0,False,True,1349.5,,,,,
,9503,9503.T,9503_20260820_01,7.0,False,True,2557.5,,,,,
,4503,4503.T,4503_20260820_01,7.0,False,True,2418.0,,,,,
,7269,7269.T,7269_20260818_01,7.0,True,True,2087.0,,,,,
,7269,7269.T,7269_20260818_01,7.0,False,True,2103.5,,,,,
,8309,8309.T,8309_20260818_01,7.0,True,False,1715.5,,,,,
,8725,8725.T,8725_20260818_01,7.0,True,True,4945.0,,,,,
,8604,8604.T,8604_20260818_01,7.0,True,False,1535.0,,,,,
,8601,8601.T,8601_20260818_01,7.0,True,False,1779.0,,,,,
,8331,8331.T,8331_20260818_01,7.0,True,False,2753.5,,,,,
,8309,8309.T,8309_20260818_01,7.0,True,False,1702.0,,,,,
,8601,8601.T,8601_20260818_01,7.0,True,False,1786.5,,,,,
,8604,8604.T,8604_20260818_01,7.0,True,False,1539.0,,,,,
